ID,Borrower Lat,Borrower Lng,Lender Lat,Lender Lng
389,51.587,-0.058,51.543,-0.122
390,51.576,-0.206,51.6,-0.009
391,51.493,-0.103,51.496,-0.104
392,51.525,-0.13,51.556,-0.138
393,51.49,-0.179,51.442,-0.348
394,51.523,-0.101,51.526,-0.021
395,51.491,-0.093,51.546,-0.104
396,51.521,-0.078,51.536,-0.071
397,51.53,-0.028,51.504,-0.086
398,51.988,-0.989,51.512,-0.253
399,51.523,-0.068,51.521,-0.087
400,51.499,-0.088,51.516,-0.132
401,51.537,-0.133,51.529,-0.087
402,51.53,-0.077,51.546,-0.041
403,51.491,-0.093,51.546,-0.104
404,51.464,-0.169,51.519,-0.042
405,51.464,-0.169,51.519,-0.042
406,51.464,-0.169,51.519,-0.042
407,51.464,-0.169,51.519,-0.042
408,51.464,-0.169,51.519,-0.042
409,51.464,-0.169,51.519,-0.042
410,51.517,-0.041,51.485,0.001
411,52.243,0.7112,51.525,-0.129
412,51.525,-0.025,51.583,-0.062
413,51.542,-0.056,41.709,44.802
414,51.456,-0.02,51.535,-0.073
415,51.517,-0.041,51.524,-0.034
416,51.592,-0.074,51.522,-0.112
417,51.609,0.2951,51.567,-0.122
418,51.609,0.2951,51.581,-0.018
419,51.491,-0.093,51.486,-0.14
420,51.491,-0.093,51.486,-0.14
421,50.729,-1.846,51.528,0.0268
422,51.516,-0.13,51.509,-0.145
423,51.49,0.1051,51.423,-0.062
424,51.681,-0.033,51.525,-0.129
425,51.645,-0.196,51.532,-0.096
426,51.548,0.1297,51.567,-0.129
427,51.543,-0.206,51.509,-0.145
428,51.547,-0.006,51.469,-0.067
429,51.542,-0.044,51.524,-0.034
430,51.569,-0.293,51.541,-0.088
431,51.548,-0.155,51.525,-0.083
432,51.621,-0.175,51.541,-0.088
433,51.397,-0.116,53.481,-2.233
434,51.539,-0.053,51.519,-0.099
435,51.588,-0.248,51.628,-0.247
436,51.54,-0.143,51.54,-0.143
437,51.592,-0.074,51.522,-0.112
438,51.592,-0.074,51.522,-0.112
439,51.594,-0.067,51.633,-0.042
440,51.35,-0.023,51.476,-0.056
441,51.542,-0.044,51.564,-0.073
442,52.394,-1.596,51.52,-0.119
443,51.379,-0.098,51.541,-0.064
444,51.46,-0.114,51.551,-0.041
445,51.539,-0.053,51.524,-0.318
446,51.549,-0.29,51.509,-0.145
447,51.535,-0.078,51.525,-0.058
448,51.562,0.1819,51.495,-0.061
449,51.512,-0.09,51.52,-0.096
450,51.488,0.0659,51.501,0.0052
451,51.868,-0.406,51.571,-0.089
452,51.528,-0.074,13.73,100.56
453,51.471,0.0657,51.424,-0.058
454,51.475,-0.031,51.504,-0.086
455,51.278,1.0748,51.556,-0.138
456,51.278,1.0748,52.228,0.1413
457,51.532,-0.095,51.535,-0.054
458,51.542,-0.079,51.486,0.0657
459,51.589,-0.039,51.57,0.014
460,51.569,-0.026,51.579,-0.03
461,51.532,0.0129,51.498,-0.021
462,51.496,-0.079,51.538,-0.142
463,51.484,0.0284,51.487,-0.097
464,51.639,-0.339,51.628,-0.247
465,51.639,-0.339,51.628,-0.247
466,51.505,-0.089,51.557,-0.098
467,51.512,-0.066,51.483,-0.054
468,51.488,-0.245,51.524,-0.302
469,51.483,-0.099,51.49,-0.163
470,51.519,-0.108,51.522,-0.2
471,51.651,-0.248,51.526,-0.21
472,51.544,-0.146,54.473,-2.35
473,51.568,-0.076,51.544,-0.076
474,51.698,-0.431,51.571,-0.089
475,51.509,-0.091,51.54,-0.143
476,51.579,-0.03,51.514,-0.014
477,51.455,-0.155,51.509,-0.08
478,51.488,-0.095,51.512,-0.084
479,51.511,-0.079,51.511,-0.08
480,51.462,-0.128,51.516,-0.103
481,51.911,-0.466,51.513,-0.115
482,51.911,-0.466,51.513,-0.115
483,51.911,-0.466,51.513,-0.115
484,51.48,-0.022,51.487,-0.097
485,51.543,0.022,51.487,-0.097
486,47.374,8.5247,50.104,14.449
487,51.579,-0.03,51.423,-0.062
488,51.27,0.5156,51.487,-0.097
489,51.27,0.5156,51.487,-0.097
490,51.491,-0.093,51.504,-0.105
491,51.426,-0.2,31.991,34.881
492,51.533,-0.121,51.472,-0.102
493,51.452,-0.251,51.498,-0.237
494,51.569,-0.026,51.521,-0.087
495,51.522,-0.137,51.547,0.0074
496,51.532,-0.029,51.504,-0.058
497,51.491,-0.093,51.504,-0.105
498,51.525,-0.082,51.541,-0.088
499,51.525,-0.082,51.541,-0.088
500,51.635,-0.039,51.532,-0.076
501,51.483,-0.099,31.991,34.881
502,51.911,-0.466,51.734,-0.392
503,51.501,-0.112,51.787,-0.786
504,51.592,-0.307,45.944,6.4351
505,51.519,-0.097,51.581,-0.112
506,51.521,-0.11,51.511,-0.328
507,51.455,-0.155,51.461,-0.115
508,51.558,-0.194,51.645,-0.13
509,51.521,-0.11,51.525,-0.129
510,51.491,-0.194,51.519,-0.042
511,51.478,0.0462,51.474,-0.12
512,51.558,-0.194,51.645,-0.13
513,51.558,-0.194,51.645,-0.13
514,51.576,0.0663,51.497,-0.183
515,51.494,-0.101,51.537,-0.103
516,51.541,-0.058,52.213,-9.938
517,51.494,-0.101,51.538,-0.074
518,51.5,0.029,51.498,-0.021
519,51.375,-0.093,51.52,-0.096
520,51.531,-0.111,51.509,-0.08
521,51.393,0.56,51.473,-0.056
522,51.509,-0.336,51.461,-0.115
523,51.521,-0.202,51.485,-0.093
524,51.499,-0.088,51.484,-0.103
525,51.504,-0.017,51.509,-0.145
526,51.504,-0.017,51.509,-0.145
527,51.527,-0.024,51.518,-0.135
528,51.565,0.1404,51.437,0.0731
529,51.577,-0.148,51.525,-0.083
530,51.567,0.1054,51.509,-0.145
531,51.523,-0.104,51.487,-0.097
532,51.523,-0.104,51.487,-0.097
533,51.535,-0.078,51.525,-0.058
534,51.523,-0.104,51.487,-0.097
535,51.583,-0.029,51.519,-0.042
536,51.413,-0.051,51.532,-0.096
537,51.428,-0.043,51.429,-0.101
538,51.543,-0.025,51.523,-0.091
539,51.54,-0.148,51.592,-0.239
540,51.567,-0.115,51.581,-0.112
541,51.49,-0.163,51.461,-0.115
542,51.504,-0.097,51.532,-0.079
543,51.639,-0.067,53.612,-1.728
544,51.531,-0.111,51.509,-0.08
545,51.544,-0.068,51.498,-0.021
546,51.544,-0.068,51.498,-0.021
547,51.601,0.4433,51.497,-0.183
548,51.541,-0.182,51.496,-0.257
549,51.483,-0.099,51.49,-0.163
550,51.576,-0.005,51.588,-0.035
551,55.687,12.559,51.518,-0.135
552,51.499,-0.088,51.572,-0.1
553,51.525,-0.083,51.496,-0.037
554,51.524,-0.106,51.519,-0.048
555,51.698,-0.431,51.547,-0.006
556,51.509,-0.299,51.487,-0.097
557,51.497,-0.102,51.424,-0.058
558,51.497,-0.102,51.424,-0.058
559,51.502,-0.223,51.522,-0.2
560,51.535,-0.19,51.509,-0.145
561,51.535,-0.19,51.509,-0.145
562,51.496,-0.025,51.536,-0.071
563,51.545,-0.01,51.523,-0.045
564,51.563,-0.046,51.43,-0.093
565,51.569,-0.265,51.544,-0.113
566,51.497,-0.102,51.534,-0.241
567,51.512,-0.136,51.513,-0.232
568,51.536,-0.198,51.541,-0.132
569,45.833,8.8046,51.494,-0.114
570,51.544,-0.029,51.591,0.0301
571,51.488,-0.095,51.496,-0.13
572,51.491,-0.155,51.526,-0.098
573,51.464,-0.214,51.567,0.0117
574,51.464,-0.214,51.567,0.0117
575,51.464,-0.214,51.545,-0.075
576,51.449,-0.029,51.525,-0.129
577,51.56,-0.283,51.533,-0.095
578,51.445,-0.127,51.53,-0.284
